species_code,source,gear,year,q,lat,lon,location,ICES,depth_m,bottom,minutes,bottom_c,bottom_nr,shells,ross,remark,book,ostrea_edulis_pres,ostrea_edulis_shell_pres
B1,H,B,1903,2,53.45,5.25,,35F5,26,"br spk, s",60,s,4,0,0,,,0,0
B2,H,B,1903,2,54.65,8.18,,38F8,16,fgs,120,fs,3,0,0,,,0,0
B3,H,B,1903,2,55.4,8.17,,39F8,16,fs,60,fs,3,0,0,,,0,0
B4,H,B,1903,2,55.33,7.95,,39F7,18,fs,60,fs,3,0,0,,,0,0
B6,H,B,1903,2,55.4,7.6,,39F7,22,fds,60,fs,3,0,0,,,0,0
B7,H,B,1903,2,55.37,7.5,,39F7,24,fls,60,fs,3,0,0,,,0,0
B8,H,B,1903,2,55.5,6.28,,40F6,46,fgs,60,fs,3,0,0,,,0,0
B10,H,B,1903,2,55.43,5.9,,39F6,49,"fs, ooze",60,mfs,2,0,0,,,0,0
B12,H,B,1903,2,55.03,0.28,,39F0,75,"fg spk, s",180,fs,3,0,0,,,0,0
B13,H,B,1903,2,55.83,0.78,,39F0,70,cds,60,cs,5,0,0,,,0,0
B14,H,B,1903,2,54.97,-1.33,,3.80E+09,51,ds,60,s,4,0,0,net split,,0,0
B15,H,B,1903,2,55.03,-1.02,,3.90E+09,80,m,175,m,2,0,0,net badly split,,0,0
B16,H,B,1903,2,54.83,-0.88,,3.80E+10,68,m,150,m,2,0,0,,,0,0
B19,H,B,1903,2,54,-0.08,,3.70E+10,20,cs,60,cs,5,0,0,,,0,0
B20,H,B,1903,2,54.17,0.17,,37F0,22,cs,240,cs,5,0,0,net badly torn,,0,0
B21,H,B,1903,2,54.05,0,,37F0,15,fs,105,fs,3,0,0,,,0,0
B22,H,B,1903,2,53.3,0.58,,35F0,27,"cs, sh",60,cs,5,1,0,,,0,0
B23,H,B,1903,2,53,1.58,,35F1,27,cs,60,cs,5,0,0,,,0,0
B24,H,B,1903,2,52.73,2.33,,34F2,42,"m, s",240,ms,3,0,0,,,0,0
B26,H,B,1903,2,52.87,2.52,,34F2,37,"fbrs, sh",420,fs,3,1,0,,,0,0
B27,H,B,1903,2,53.12,2.67,,35F2,31,fds,480,fs,3,0,0,bottom fauna,,0,0
B28,H,B,1903,2,53.35,2.42,,35F2,27,cs,450,cs,5,0,0,net badly torn,,0,0
B29,H,B,1903,2,53.77,2,,36F1,27,s,75,s,4,0,0,,,0,0
B30,H,B,1903,2,53.75,1.92,,36F1,27,cs,180,cs,5,0,0,,,0,0
B31,H,B,1903,3,54.75,-0.7,,3.80E+10,57,fds,180,fs,3,0,0,,,0,0
B32,H,B,1903,3,54,-0.08,,3.70E+10,13,fgs,60,fs,3,0,0,came fast,,0,0
B33,H,B,1903,3,53.58,0.83,,36F0,22,fgs,210,fs,3,0,0,,,0,0
B34,H,B,1903,3,53.58,0.83,,36F0,22,fgs,30,fs,3,0,0,came fast,,0,0
B35,H,B,1093,3,53.67,0.78,,36F0,26,fds,330,fs,3,0,0,,,0,0
B36,H,B,1903,3,53,1.58,,35F1,29,"s, sh",390,s,4,1,0,,,0,0
B37,H,B,1903,3,53,1.58,,35F1,35,ross,300,NA,NA,0,1,,,0,0
B38,H,B,1903,3,52.33,1.78,,33F1,35,gravel,180,gr,6,0,0,,,1,0
B39,H,B,1903,3,52.33,1.78,,33F1,27,cs,150,cs,5,0,0,,,0,0
B42,H,B,1903,3,52.15,1.67,,33F1,22,"m, s ",180,ms,3,0,0,,,0,0
B43,H,B,1903,3,52.72,2.33,,34F2,40,fds,480,fs,3,0,0,,,0,0
B44,H,B,1903,3,52.95,2.67,,34F2,38,fgs,240,fs,3,0,0,,,0,0
B45,H,B,1903,3,52.98,2.45,,34F2,38,fgs,360,fs,3,0,0,,,0,0
B46,H,B,1903,3,53.02,2.5,,35F2,38,fgs,300,fs,3,0,0,,,0,0
B47,H,B,1903,3,53.15,2.27,,35F2,38,"fs, sh",480,fs,3,1,0,,,0,0
B49,H,B,1903,3,53.17,1.95,,35F1,35,fgs,540,fs,3,0,0,,,0,0
B50,H,B,1903,3,53.03,2.4,,35F2,35,fgs,540,fs,3,0,0,,,0,0
B51,H,B,1903,3,53.17,2.23,,35F2,33,fgs,240,fs,3,0,0,,,0,0
B52,H,B,1903,3,53.23,2.02,,35F2,27,cs,390,cs,5,0,0,,,0,0
B53,H,B,1903,3,53.25,1.73,,35F2,27,fs,210,fs,3,0,0,had belly torn,,0,0
B55,H,B,1903,3,53.17,1.95,,35F1,37,cs,240,cs,5,0,0,,,0,0
B56,H,B,1903,3,53.2,1.67,,35F1,37,ds,285,s,4,0,0,came fast,,0,0
B57,H,B,1903,3,53,1.58,,35F1,33,cs,210,cs,5,0,0,broke port,,0,0
B58,H,B,1903,3,53.2,1.67,,35F1,35,cs,420,cs,5,0,0,,,0,0
B60,H,B,1903,3,52.72,2.58,,34F2,33,fgs,180,fs,3,0,0,had belly split,,0,0
B61,H,B,1903,3,52.9,2.08,,34F2,33,fgs,120,fs,3,0,0,,,0,0
