species_code,source,gear,year,q,lat,lon,location,ICES,depth_m,bottom,minutes,bottom_c,bottom_nr,shells,ross,remark,book,ostrea_edulis_pres,ostrea_edulis_shell_pres
N01,P,DKH,1903,,54.68,6.2,,38F6,38,fs,,,,,,,,0,
N02,P,DHK,1903,,55.37,4.3,,39F4,43,fs,,,,,,,,0,
N03,P,DHK,1903,,56.03,3.27,,41F3,70,fs,,,,,,,,0,
N3-4,P,,1903,,56.65,2.33,,42F2,80, - ,,,,,,,,0,
N04,P,DH,1903,,56.68,2.25,,42F2,85,,,,,,,,,0,
N04a,P,K,1903,,57.02,2,,43F1,100,fss,,,,,,,,0,
N05,P,DH,1903,,57.4,3.35,,43F3,65,fs,,,,,,,,0,
N06,P,,1903,,57.9,4.78,,44F4,,,,,,,,,,0,
N06a,P,,1903,,57.95,4.83,,44F4,,,,,,,,,,0,
N07,P,,1903,,58.15,5.25,,45F5,,,,,,,,,,0,
N08,P,,1903,,58.33,4.62,,45F4,,,,,,,,,,0,
N09,P,,1903,,57.87,7.33,,44F7,,,,,,,,,,0,
N10,P,,1903,,57.53,7.53,,44F7,,,,,,,,,,0,
N10-11,P,,1903,,57.28,7.8,,43F7,,,,,,,,,,0,
N11,P,,1903,,57.23,7.78,,43F7,,,,,,,,,,0,
N12,P,,1903,,57,8.05,,42F8,,,,,,,,,,0,
N13,P,,1903,,56.75,6.1,,42F6,,,,,,,,,,0,
N13a1903,P,,1903,,56.43,6.87,,41F6,,,,,,,,,,0,
N13a1906,P,,1906,,56.62,6.42,,42F6,,,,,,,,,,0,
N13b,P,,1903,,56.35,7.03,,41F7,,,,,,,,,,0,
N14,P,,1903,,56.22,7.35,,41F7,,,,,,,,,,0,
N14b,P,,1903,,55.42,6.33,,39F6,,,,,,,,,,0,
N15,P,,1903,,55.03,7.5,,39F7,,,,,,,,,,0,
N16,P,,1903,,59.05,4.92,,47F4,,,,,,,,,,0,
N17,P,,1903,,58.92,4.17,,46F4,,,,,,,,,,0,
N18,P,,1903,,54.2,6.22,,37F6,,,,,,,,,,0,
N24,P,,1903,,54,6.93,,36F6,,,,,,,,,,0,
1903 -03,P,,1903,,54.45,7.05,,37F7,,,,,,,,,,0,
1903 -04,P,,1903,,54.35,6.9,,37F6,,,,,,,,,,0,
1903 -07,P,,1903,,54.73,6.07,,38F6,,,,,,,,,,0,
1903-9,P,D,1903,,55.05,4.95,,39F4,40,fs,,,,,,,,0,
1903-10,P,,1903,,55.17,4.43,,39F4,51,,,,,,,,,0,
1903-11,P,P,1903,,55.27,4.48,,39F4,40,fs,,,,,,,,0,
1903-12,P,K,1903,,55.53,4.5,,40F4,35,fs,,,,,,,,0,
1903 -16,P,DK,1903,,55.87,4.5,,40F2,90,m,,,,,,,,0,
1903-17,P,DK,1903,,54.27,4.03,,37F4,42,fs,,,,,,,,0,
1903-19,P,D,1903,,54.73,3.32,,38F3,58,cs,,,,,,,,0,
1903 -20,P,,1903,,55.23,3.92,,39F3,,,,,,,,,,0,
1903-21,P,HK,1903,,53.62,2.8,,36F2,65,fs,,,,,,,,0,
1903-25,P,D,1903,,54.57,4.68,,38F4,51,fs,,,,,,,,0,
1903 -28,P,,1903,,53.92,6.17,,36F6,,,,,,,,,,0,
1903 -31,P,,1903,,55,6.92,,38F6,,,,,,,,,,0,
1903 -43,P,,1903,,57,8,,42F7,,,,,,,,,,0,
1903 -49,P,,1903,,55.23,6.37,,39F6,,,,,,,,,,0,
1903 -54,P,,1903,,54.27,7.92,,37F7,,,,,,,,,,0,
1903 -55,P,,1903,,54.62,7.75,,38F7,,,,,,,,,,0,
1903 -56,P,,1903,,54.72,7.7,,38F7,,,,,,,,,,0,
1903 -57,P,,1903,,55,7.98,,38F7,,,,,,,,,,0,
1903 -58,P,,1903,,55.38,7.42,,39F7,,,,,,,,,,0,
1903 -59,P,,1903,,55.6,7.57,,40F7,,,,,,,,,,0,
1903 -60,P,,1903,,55.53,7.1,,40F7,,,,,,,,,,0,
1903 -61,P,,1903,,55.13,6.45,,39F6,,,,,,,,,,0,
1903 -62,P,,1903,,55.08,7.2,,39F7,,,,,,,,,,0,
1903 -63,P,,1903,,54.9,8.27,,38F8,,,,,,,,,,0,
1903-64,P,DO,1903,,55.23,4.15,,40F4,,mfs,,,,,,Dogger,,0,
1903-65,P,DHK,1903,,55.65,2.52,,39F2,47,mfs,,,,,,Dogger,,0,
1903-66,P,K,1903,,55.65,2.52,,40F2,70,fs,,,,,,,,0,
1903-67,P,DH,1903,,54.48,2.13,,37F2,19,fsh,,,,,,,,0,
1903-68,P,H,1903,,54.38,2.13,,37F2,33,cs,,,,,,Dogger,,0,
1903-69,P,,1903,,54.17,2.15,,37F2,,mfs,,,,,,Dogger,,0,
1903-70,P,D,1903,,54.17,2.15,,37F2,39,fcs,,,,,,Dogger,,0,
1903-71,P,D,1903,,54.17,2.28,,37F2,39,fcs,,,,,,Dogger,,0,
1903 -72,P,,1903,,52.68,3.37,,34F3,,,,,,,,,,0,
1903 -73,P,,1903,,53.18,4.32,,35F4,,,,,,,,,,0,
1903-74,P,D,1903,,53.72,5,,36F4,36,mfs,,,,,,,,0,
1903 -75,P,,1903,,53.5,5.58,,35F5,,,,,,,,,,0,
1903 -76,P,,1903,,53.83,6.48,,36F6,,,,,,,,,,0,
1903 -77,P,,1903,,0,0,,FE9,,,,,,,,,,0,
1903 -78,P,,1903,,54.8,5.82,,38F5,,,,,,,,,,0,
1904 -01,P,,1904,,55.4,6.18,,39F6,,,,,,,,,,0,
1904 -02,P,,1904,,55.63,5.7,,40F5,,,,,,,,,,0,
1904 -03,P,,1904,,56.52,4.47,,42F4,,,,,,,,,,0,
1904 -04,P,,1904,,56.88,3.35,,42F3,,,,,,,,,,0,
1904 -05,P,,1904,,57.33,2.2,,43F2,,,,,,,,,,0,
1904 -07,P,,1904,,56.52,5.32,,42F5,,,,,,,,,,0,
1904 -08,P,,1904,,56.47,5.95,,41F5,,,,,,,,,,0,
1904 -09,P,,1904,,57.52,7.78,,44F7,,,,,,,,,,0,
1904 -10,P,,1904,,57.45,7.78,,43F7,,,,,,,,,,0,
1904 -11,P,,1904,,56.42,7.13,,41F7,,,,,,,,,,0,
1904 -12,P,,1904,,56.22,6,,41F5,,,,,,,,,,0,
1904 -13,P,,1904,,55.57,7.08,,40F7,,,,,,,,,,0,
1904 -14,P,,1904,,55.33,7.75,,39F7,,,,,,,,,,0,
1904 -15,P,,1904,,55.03,7.12,,39F7,,,,,,,,,,0,
1904 -16,P,,1904,,54.93,7.92,,38F7,,,,,,,,,,0,
1904 -18,P,,1904,,54.33,7.32,,37F7,,,,,,,,,,0,
1904 -19,P,,1904,,53.75,6.98,,36F6,,,,,,,,,,0,
1904 -20,P,,1904,,53.97,6.8,,36F6,,,,,,,,,,0,
1904 -21,P,,1904,,53.95,6.25,,36F6,,,,,,,,,,0,
1904-22,P,K,1904,,54.35,5.3,,37F5,40,ms,,,,,,,,1,
1904-23,P,DK,1904,,54.8,5.42,,38F5,40,mfs,,,,,,,,0,
1904-24,P,DK,1904,,55.22,4.75,,39F4,44,mfs,,,,,,,,0,
1904-25,P,K,1904,,55.2,4.35,,39F4,46,fs,,,,,,,,0,
1904 -26,P,,1904,,56.37,4.37,,41F4,,,,,,,,,,0,
1904 -27,P,,1904,,56.88,3.35,,42F3,,,,,,,,,,0,
