Datum;LocatieNr;Locatie;Lat;Lon;Bron;N_Ostera_edulis-present
04-09-2017;1;Jack Ijst 1;53.182395;4.975208;Van der Have et al. (2017);1
18-09-2017;2;Jack Ijst 2;53.188226;4.967611;Van der Have et al. (2017);1
18-09-2017;3;Foksdiep;53.153414;5.003451;Van der Have et al. (2017);1
18-09-2017;5;Lange Gat / Hengst;53.195879;4.956666;Van der Have et al. (2017);1
19-09-2017;6;Lange Gat;53.227694;4.959715;Van der Have et al. (2017);1
19-09-2017;7;Cupido’s gaatje;53.24068;5.011778;Van der Have et al. (2017);1
22-09-2017;8;t Kiltje;53.153053;4.899848;Van der Have et al. (2017);1
2017;9;Blokkendam;51.778207;3.860018;Sas et al. (2018);1
2017;10;Blokkendam;51.780971;3.860628;Sas et al. (2018);1
2017;11;Blokkendam;51.782826;3.862778;Sas et al. (2018);1
2017;12;Blokkendam;51.785073;3.863244;Sas et al. (2018);1
2017;13;Blokkendam;51.789706;3.859426;Sas et al. (2018);1
2017;14;Blokkendam;51.792292;3.857985;Sas et al. (2018);1
2017;15;Blokkendam;51.796628;3.854339;Sas et al. (2018);1
2017;16;Blokkendam;51.781557;3.857612;Sas et al. (2018);1
