year;PGM_CODE;month;day;CODE;sample;SCIENTIFIC_NAME;latitude_s;longitude_s;water_depth_s;DUTCH_NAME;DURATION;TOR_CODE;BOTTOM_TRACK;number;wght;pressence
2007;BTS;8;22;42F5007;1400007;Modiolus modiolus;56.72897;5.78388;57;Paardemossel;34;Boomkor08w;4352;1;184;1
2007;BTS;8;22;43F6009;1400009;Modiolus modiolus;57.1384;6.26178;64;Paardemossel;30;Boomkor08w;3870;1;116;1
2007;BTS;8;23;44E8013;1400013;Modiolus modiolus;57.9296;-1.31918;85;Paardemossel;30;Boomkor08w;3852;3;541;1
2007;BTS;8;24;45E6016;1400016;Modiolus modiolus;58.20473;-3.13272;68;Paardemossel;30;Boomkor08w;3907;8;1150;1
2007;BTS;8;27;43E9020;1400020;Modiolus modiolus;57.27115;-0.2047;78;Paardemossel;30;Boomkor08w;3852;9;1262;1
2007;BTS;8;27;43F0021;1400021;Modiolus modiolus;57.17137;0.3303;76;Paardemossel;30;Boomkor08w;3759;11;1204;1
2007;BTS;8;27;44F1023;1400023;Modiolus modiolus;57.5724;1.38567;96;Paardemossel;30;Boomkor08w;3796;2;118;1
2007;BTS;8;28;43F4027;1400027;Modiolus modiolus;57.27082;4.69535;59;Paardemossel;30;Boomkor08w;3907;1;87;1
2007;BTS;9;5;41F2044;1400044;Modiolus modiolus;56.26668;2.80222;79;Paardemossel;30;Boomkor08w;3870;43;6710;1
2007;BTS;9;5;42F2043;1400043;Modiolus modiolus;56.71265;2.82143;70;Paardemossel;30;Boomkor08w;3907;27;4975;1
2007;BTS;9;5;42F4041;1400041;Modiolus modiolus;56.53293;4.38265;67;Paardemossel;30;Boomkor08w;3870;1;74;1
2007;BTS;9;6;41F0049;1400049;Modiolus modiolus;56.21445;0.35155;79;Paardemossel;30;Boomkor08w;3870;17;1435;1
2007;BTS;9;6;42E9047;1400047;Modiolus modiolus;56.67043;-0.2614;88;Paardemossel;30;Boomkor08w;3815;30;4795;1
2007;BTS;9;6;42F0046;1400046;Modiolus modiolus;56.62398;0.55922;85;Paardemossel;30;Boomkor08w;3907;2;221;1
2007;BTS;9;6;42F1045;1400045;Modiolus modiolus;56.68063;1.5055;93;Paardemossel;30;Boomkor08w;3852;4;486;1
2007;BTS;9;7;40E9052;1400052;Modiolus modiolus;55.69655;-0.35417;73;Paardemossel;30;Boomkor08w;3870;9;1251;1
2007;BTS;9;7;40F0051;1400051;Modiolus modiolus;55.7752;0.57283;82;Paardemossel;30;Boomkor08w;3963;12;1700;1
2007;DISBT;8;20;2;6000682;Modiolus modiolus;53.68333;2.45;26;Paardemossel;105;Boomkor12w;;8.25;;1
2007;IBTS;2;9;41E7031;3400031;Modiolus modiolus;56.36083;-2.08283;50;Paardemossel;30;GOV;3981;1;346;1
2007;IBTS;2;9;41E8030;3400030;Modiolus modiolus;56.4015;-1.44083;58;Paardemossel;30;GOV;3796;2;603;1
2007;MAFCONS;9;6;42E9047;1400115;Modiolus modiolus;56.67828;-0.24667;84;Paardemossel;5;Boomkor02;237;1;332;1
2008;BTS;8;21;45F1011;1400011;Modiolus modiolus;58.11583;1.89767;86;Paardemossel;30;Boomkor08w;4259;1;47;1
2008;BTS;8;22;44E6017;1400017;Modiolus modiolus;57.97633;-3.23983;51;Paardemossel;30;Boomkor08w;4630;1;212;1
2008;BTS;8;22;45E6016;1400016;Modiolus modiolus;58.21467;-3.136;67;Paardemossel;30;Boomkor08w;3796;2;316;1
2008;BTS;8;25;43F1022;1400022;Modiolus modiolus;57.308;1.46367;93;Paardemossel;30;Boomkor08w;4138;2;100;1
2008;BTS;8;25;43F2023;1400023;Modiolus modiolus;57.18067;2.67933;68;Paardemossel;30;Boomkor08w;4148;32;4250;1
2008;BTS;8;25;44F1021;1400021;Modiolus modiolus;57.587;1.35667;93;Paardemossel;30;Boomkor08w;4037;3;217;1
