year;PGM_CODE;month;day;CODE;sample;SCIENTIFIC_NAME;latitude_s;longitude_s;water_depth_s;DUTCH_NAME;DURATION;TOR_CODE;BOTTOM_TRACK;number;wght;pressence
2007;IBTS;2;20;34F1045;3400045;Sabellaria;52.51975;1.91688;27;Sabellaria;30;GOV;3704;1;730;1
2007;IBTS;2;27;30F1056;3400056;Sabellaria;50.98252;1.09218;33;Sabellaria;20;GOV;3870;4;48;1
2008;IBTS;2;13;36F4037;3400037;Sabellaria;53.8275;4.21467;43;Sabellaria;30;GOV;5185;;10;1
2008;IBTS;2;19;33F1043;3400043;Sabellaria;52.263;1.89167;28;Sabellaria;30;GOV;3518;1;6;1
2008;IBTS;2;25;34F2056;3400056;Sabellaria;52.60467;2.47617;51;Sabellaria;30;GOV;3870;;384;1
2008;MAFCONS;9;10;36F4069;1400123;Sabellaria;53.63633;4.63867;31;Sabellaria;5;Boomkor02;370;1;118;1
2010;IBTS;1;28;36F4012;3400012;Sabellaria;53.56667;4.38333;28;Sabellaria;30;GOV;5241;2;344;1
2010;IBTS;2;5;43E8032;3400032;Sabellaria;57.22183;-1.35817;101;Sabellaria;30;GOV;4072;;704;1
2010;IBTS;2;10;35F0042;3400042;Sabellaria;53.40783;0.659;84.5;Sabellaria;27;GOV;3396;;560;1
2010;IBTS;2;10;35F2040;3400040;Sabellaria;53.21083;2.18067;41.5;Sabellaria;30;GOV;3463;;25100;1
2014;BTS;9;9;35F1067;1400067;Sabellaria;53.27367;1.70517;38;Sabellaria;30;Boomkor08w;3989;3;237;1
2014;BTS;9;9;35F2068;1400068;Sabellaria;53.302;2.08233;35;Sabellaria;30;Boomkor08w;4105;5;210;1
2015;BTS;8;27;32F2037;1400037;Sabellaria;51.92117;2.48717;46;Sabellaria;16;Boomkor08w;2138;1;151;1
2016;BTS;9;14;32F1072;1400072;Sabellaria;51.65828;1.8613;47;Sabellaria;30;Boomkor08w;4287;24;3672;1
2016;IBTS;2;20;34F1038;3000038;Sabellaria;52.68532;1.914;37;Sabellaria;30;GOV;3726;;271200;1
2007;BTS;9;12;34F2066;1400066;Sabellaria;52.74595;2.47508;48;Sabellaria;9;Boomkor08w;1481;1;;1
2015;DISBT;11;4;31;6000064;Sabellaria;52.43433;2.91667;38;Sabellaria;110;Boomkor12e;15556;31.875;;1
2016;DISBT;3;23;25;6000563;Sabellaria;52.86667;3.26667;25;Sabellaria;125;Boomkor12e;18520;3.461538462;;1
2016;DISBT;11;15;17;6000077;Sabellaria;52.16667;2.38333;45;Sabellaria;140;Boomkor12e;18520;2.65625;;1
2016;DISBT;11;16;26;6000078;Sabellaria;52.06667;2.38333;45;Sabellaria;120;Boomkor12e;16668;5.192307692;;1
2016;IBTS;2;20;33F1035;3000035;Sabellaria;52.25775;1.88868;30;Sabellaria;30;GOV;3606;8;;1
2016;IBTS;2;20;33F2036;3000036;Sabellaria;52.2214;2.3599;43;Sabellaria;30;GOV;3712;16;;1
2016;IBTS;2;20;34F2037;3000037;Sabellaria;52.6912;2.29337;43;Sabellaria;30;GOV;3632;1;;1
2016;IBTS;2;23;34F3047;3000047;Sabellaria;52.6499;3.29627;32;Sabellaria;30;GOV;3830;1;;1
2017;BTS;8;1;35F3007;1400107;Sabellaria;53.2535;3.467;32.1;Sabellaria;13;Boomkor08w;1391;12;;1
2017;DISBT;1;24;18;6000001;Sabellaria;52.11667;2.38333;;Sabellaria;135;Boomkor12e;16668;6.111111111;;1
2017;DISBT;4;6;32;6000030;Sabellaria;51.63333;2.46667;30;Sabellaria;125;Boomkor12e;17408;13.47826;;1
