FID,meetwaarde_identificatie,monprog_naam,meetpunt_identificatie,geometriepunt_x,geometriepunt_y,monster_identificatie,compartiment_code,bemonsteringsmethode_code,veldapparaat_code,monsternemingsdatum,monsternemingstijd,monster_tijdutcoffset,referentiehorizontaal_code,grootheid_code,parameter_groep,parameter_omschrijving,eenheid_code,hoedanigheid_code,waardebewerkingsmethode_code,waardebepalingsmethode_code,begindatum,begintijd,meetwaarde_tijdutcoffset,resultaatdatum,resultaatutcoffset,limietsymbool,numeriekewaarde,alfanumeriekewaarde,kwaliteitsoordeel_code,the_geom
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_10b3,RWS1995_OESTGDN23_4537,RWS-boxcore historie,DOGGBANK,3.291912,54.860952,RWS1995_OESTGDN23,BS,"Essink, 1991",Box-corer,21-06-95,,NaN,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",21-06-95,,NaN,21-06-95,NaN,,0.0117,,0,POINT (3.2919120000000004 54.860952035874895)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_10fa,RWS1995_ROTTMPT50_4611,RWS-boxcore historie,OFFSHORE_OV,6.308686,53.953177,RWS1995_ROTTMPT50,BS,"Essink, 1991",Box-corer,13-06-95,,NaN,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",13-06-95,,NaN,13-06-95,NaN,,0.0951,,0,POINT (6.308686 53.95317703703138)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_111b,RWS1995_ROTTMPT70_4644,RWS-boxcore historie,OESTERGR_OV,6.212845,54.117348,RWS1995_ROTTMPT70,BS,"Essink, 1991",Box-corer,13-06-95,,NaN,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",13-06-95,,NaN,13-06-95,NaN,,1.6634,,0,POINT (6.2128450000000015 54.1173480368285)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_115c,RWS1995_TERSLG235_4711,RWS-boxcore historie,DOGGBANK,3.156064,55.171517,RWS1995_TERSLG235,BS,"Essink, 1991",Box-corer,21-06-95,,NaN,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",21-06-95,,NaN,21-06-95,NaN,,0.0293,,0,POINT (3.1560640000000006 55.17151703546057)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_117f,RWS1995_TERSLG30_4746,RWS-boxcore historie,OFFSHORE_OV,4.939617,53.612726,RWS1995_TERSLG30,BS,"Essink, 1991",Box-corer,26-06-95,,NaN,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",26-06-95,,NaN,26-06-95,NaN,,1.5127,,0,POINT (4.939617 53.61272603744301)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_11bb,RWS1995_TERSLG50_4807,RWS-boxcore historie,FRIESEFR,4.765596,53.766765,RWS1995_TERSLG50,BS,"Essink, 1991",Box-corer,27-06-95,,NaN,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",27-06-95,,NaN,27-06-95,NaN,,0.0044,,0,POINT (4.765596000000001 53.76676503725832)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_11cd,RWS1995_VOORDTA2_4825,RWS-boxcore historie,VOORDELTA,3.386181,51.616959,RWS1995_VOORDTA2,BS,"Essink, 1991",Box-corer,06-06-95,,NaN,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",06-06-95,,NaN,06-06-95,NaN,,0.0015,,0,POINT (3.3861810000000006 51.61695903958882)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_11e4,RWS1995_VOORDTA4_4848,RWS-boxcore historie,VOORDELTA,3.81202,51.789747,RWS1995_VOORDTA4,BS,"Essink, 1991",Box-corer,31-05-95,,NaN,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",31-05-95,,NaN,31-05-95,NaN,,0.0073,,0,POINT (3.812020000000001 51.789747039422096)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_11f9,RWS1995_VOORDTA5_4869,RWS-boxcore historie,VOORDELTA,3.917852,51.921419,RWS1995_VOORDTA5,BS,"Essink, 1991",Box-corer,22-05-95,,NaN,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",22-05-95,,NaN,22-05-95,NaN,,0.2794,,0,POINT (3.917852000000001 51.92141903929253)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_1215,RWS1995_WADDKT02_4899,RWS-boxcore historie,KUSTZONE_OV,5.825629,53.610383,RWS1995_WADDKT02,BS,"Essink, 1991",Box-corer,13-06-95,,NaN,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",13-06-95,,NaN,13-06-95,NaN,,1.7249,,0,POINT (5.825629000000001 53.610383037445786)
