FID,meetwaarde_identificatie,monprog_naam,meetpunt_identificatie,geometriepunt_x,geometriepunt_y,monster_identificatie,compartiment_code,bemonsteringsmethode_code,veldapparaat_code,monsternemingsdatum,monsternemingstijd,monster_tijdutcoffset,referentiehorizontaal_code,grootheid_code,parameter_groep,parameter_omschrijving,eenheid_code,hoedanigheid_code,waardebewerkingsmethode_code,waardebepalingsmethode_code,begindatum,begintijd,meetwaarde_tijdutcoffset,resultaatdatum,resultaatutcoffset,limietsymbool,numeriekewaarde,alfanumeriekewaarde,kwaliteitsoordeel_code,the_geom
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_1a88,RWS1996_WADDKT06_3846,RWS-boxcore historie,NZKUSTZONE,6.184807,53.537606,RWS1996_WADDKT06,BS,"Essink, 1991",Box-corer,03-04-96,14:24:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Modiolus,g/m2,adg,,"Essink, 1991",03-04-96,14:24:00,2,03-04-96,2,,0.0029,,0,POINT (6.184807 53.53760603753212)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_1be9,RWS1997_BREEVTN22_2556,RWS-boxcore historie,OFFSHORE_OV,3.40589,52.10253,RWS1997_BREEVTN22,BS,"Essink, 1991",Box-corer,02-04-97,09:55:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Modiolus modiolus,g/m2,adg,,"Essink, 1991",02-04-97,09:55:00,2,02-04-97,2,,0.0029,,0,POINT (3.4058899999999994 52.1025300391108)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_444e,RWS2001_OESTGDN03_3775,RWS-boxcore historie,DOGGBANK,2.931913,54.549271,RWS2001_OESTGDN03,BS,"Essink, 1991",Box-corer,15-03-01,20:30:00,1,EPSG4258,MASSPOPVTE,Biotaxon,Modiolus,g/m2,adg,,"Essink, 1991",15-03-01,20:30:00,1,15-03-01,1,,0.00056,,0,POINT (2.9319129999999993 54.54927103628134)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_521d,RWS2002_VOORDTA5_5047,RWS-boxcore historie,VOORDELTA,3.917852,51.921419,RWS2002_VOORDTA5,BS,"Essink, 1991",Box-corer,11-03-02,14:00:00,1,EPSG4258,MASSPOPVTE,Biotaxon,Modiolus,g/m2,adg,,"Essink, 1991",11-03-02,14:00:00,1,11-03-02,1,,0.00211,,0,POINT (3.917852000000001 51.92141903929253)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d712dd_4222,RWS1996_WADDKT06_1901,RWS-boxcore historie,NZKUSTZONE,6.184807,53.537606,RWS1996_WADDKT06,BS,"Essink, 1991",Box-corer,03-04-96,14:24:00,2,EPSG4258,AANTPOPVTE,Biotaxon,Modiolus,n/m2,NVT,,"Essink, 1991",03-04-96,14:24:00,2,03-04-96,2,,14.6,,0,POINT (6.184807 53.53760603753212)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d712dd_4385,RWS1997_BREEVTN22_304,RWS-boxcore historie,OFFSHORE_OV,3.40589,52.10253,RWS1997_BREEVTN22,BS,"Essink, 1991",Box-corer,02-04-97,09:55:00,2,EPSG4258,AANTPOPVTE,Biotaxon,Modiolus modiolus,n/m2,NVT,,"Essink, 1991",02-04-97,09:55:00,2,02-04-97,2,,14.6,,0,POINT (3.4058899999999994 52.1025300391108)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d712dd_6c93,RWS2001_OESTGDN03_1341,RWS-boxcore historie,DOGGBANK,2.931913,54.549271,RWS2001_OESTGDN03,BS,"Essink, 1991",Box-corer,15-03-01,20:30:00,1,EPSG4258,AANTPOPVTE,Biotaxon,Modiolus,n/m2,NVT,,"Essink, 1991",15-03-01,20:30:00,1,15-03-01,1,,12.8,,0,POINT (2.9319129999999993 54.54927103628134)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d712dd_7a74,RWS2002_VOORDTA5_2426,RWS-boxcore historie,VOORDELTA,3.917852,51.921419,RWS2002_VOORDTA5,BS,"Essink, 1991",Box-corer,11-03-02,14:00:00,1,EPSG4258,AANTPOPVTE,Biotaxon,Modiolus,n/m2,NVT,,"Essink, 1991",11-03-02,14:00:00,1,11-03-02,1,,12.8,,0,POINT (3.917852000000001 51.92141903929253)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d71f87_-27ee,RWS2001_OESTGDN03_5205,RWS-boxcore historie,DOGGBANK,2.931913,54.549271,RWS2001_OESTGDN03,BS,"Essink, 1991",Box-corer,15-03-01,20:30:00,1,EPSG4258,LENGTE,Biotaxon,Modiolus,mm,NVT,GEM,"Essink, 1991",15-03-01,20:30:00,1,15-03-01,1,,1.5,,0,POINT (2.9319129999999993 54.54927103628134)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d71f87_-2494,RWS2002_VOORDTA5_5792,RWS-boxcore historie,VOORDELTA,3.917852,51.921419,RWS2002_VOORDTA5,BS,"Essink, 1991",Box-corer,11-03-02,14:00:00,1,EPSG4258,LENGTE,Biotaxon,Modiolus,mm,NVT,GEM,"Essink, 1991",11-03-02,14:00:00,1,11-03-02,1,,1.5,,0,POINT (3.917852000000001 51.92141903929253)
