;sample;location;project;size;latitude;longitude;depth;abundance;pressence
7;SP0222;K9-A;platforms;0.05;53.52024167;3.992461111;32;1459;1
8;SP0223;K9-A;platforms;0.05;53.52024167;3.992461111;32;1627;1
9;SP0221;K9-A;platforms;0.05;53.52024167;3.992461111;32;378;1
22;SP0374;L10-A;platforms;0.05;53.40208056;4.201925;15;4;1
32;SP0144;L10-G;platforms;0.05;53.49038333;4.195225;16;3;1
39;SP0142;L10-G;platforms;0.05;53.49038333;4.195225;14;1;1
48;SP0181;L10-G;platforms;0.05;53.49038333;4.195225;25;4;1
51;SP0135;L15-A;platforms;0.05;53.32954167;4.830158333;22;3;1
52;SP0136;L15-A;platforms;0.05;53.32954167;4.830158333;22;1;1
53;SP0137;L15-A;platforms;0.05;53.32954167;4.830158333;22;5;1
60;SP0124;L15-A;platforms;0.05;53.33;4.83;20;1;1
71;SP0191;K9-A;platforms;0.05;53.52;3.99;0;1;1
74;SP0206;K9-A;platforms;0.05;53.52;3.99;15;1;1
89;SW0012;Anna Graebe;platforms;0.05;53.82;4.99;26;7;1
90;SW0014;L'Espardon;platforms;0.05;52.77;3.23;27;18;1
91;SW0018;Konigin Regentess;platforms;0.05;53;2.88;24;63;1
92;SW0020;Interocean II;platforms;0.05;53.49;3.29;25;121;1
93;SW0021;Interocean II;platforms;0.05;53.49;3.29;20;26;1
94;SW0022;Interocean II;platforms;0.05;53.49;3.29;20;1;1
96;SW0028;Russische Onderzeeer;platforms;0.05;53.07;3.23;NA;113;1
100;SW0041;Durward;platforms;0.05;52.14;3.48;31;1;1
104;SW0046;Durward;platforms;0.05;52.14;3.48;28;1;1
135;SW01106;Interocean II;platforms;0.05;53.4874;3.287116667;29;5;1
310;SW01108;Ocean Prince;platforms;0.05;54.47066667;2.6425;26;1;1
410;SW01110;Ocean Prince;platforms;0.05;54.47066667;2.6425;26;1;1
6100;SW01112;Ocean Prince;platforms;0.05;54.47066667;2.6425;26;2;1
1194;SW01109;Ocean Prince;platforms;0.05;54.47066667;2.6425;26;1;1
211;SW01131;U-31;platforms;0.05;52.78919;3.05284;31;92;1
221;SW01137;Tropical Coast;platforms;0.05;53.41653333;2.315416667;25;6;1
231;SW01138;Tropical Coast;platforms;0.05;53.41653333;2.315416667;25;5;1
241;SW01139;Tropical Coast;platforms;0.05;53.41653333;2.315416667;25;2;1
251;SW01142;#57037;platforms;0.05;55.000583;-1.379767;20;1;1
261;SW01143;#57037;platforms;0.05;55.000583;-1.379767;20;4;1
271;SW01144;#57037;platforms;0.05;55.000583;-1.379767;20;34;1
281;SW01147;Mars Wrak;platforms;0.05;55.063567;-1.401583;28;23;1
291;SW01148;Mars Wrak;platforms;0.05;55.063567;-1.401583;28;33;1
321;SW01151;Somali;platforms;0.05;55.56815;-1.600416667;28;1;1
1;SP0383;D15-A;platforms;0.05;54.32474444;2.934611111;5;0;0
2;SP0387;D15-A;platforms;0.05;54.32474444;2.934611111;10;0;0
3;SP0391;D15-A;platforms;0.05;54.32474444;2.934611111;15;0;0
4;SP0399;D15-A;platforms;0.05;54.32474444;2.934611111;20;0;0
5;SP0402;D15-A;platforms;0.05;54.32474444;2.934611111;30;0;0
6;SP0405;D15-A;platforms;0.05;54.32474444;2.934611111;0;0;0
10;SP0084;L10-A;platforms;0.05;53.40208056;4.201925;14;0;0
11;SP0085;L10-A;platforms;0.05;53.40208056;4.201925;14;0;0
12;SP0086;L10-A;platforms;0.05;53.40208056;4.201925;15;0;0
13;SP0087;L10-A;platforms;0.05;53.40208056;4.201925;15;0;0
14;SP0088;L10-A;platforms;0.05;53.40208056;4.201925;14;0;0
15;SP0089;L10-A;platforms;0.05;53.40208056;4.201925;10;0;0
16;SP0090;L10-A;platforms;0.05;53.40208056;4.201925;10;0;0
17;SP0091;L10-A;platforms;0.05;53.40208056;4.201925;10;0;0
18;SP0093;L10-A;platforms;0.05;53.40208056;4.201925;0;0;0
19;SP0094;L10-A;platforms;0.05;53.40208056;4.201925;0;0;0
20;SP0095;L10-A;platforms;0.05;53.40208056;4.201925;0;0;0
21;SP0096;L10-A;platforms;0.05;53.40208056;4.201925;0;0;0
23;SP0375;L10-A;platforms;0.05;53.40208056;4.201925;10;0;0
24;SP0376;L10-A;platforms;0.05;53.40208056;4.201925;10;0;0
25;SP0377;L10-A;platforms;0.05;53.40208056;4.201925;5;0;0
26;SP0378;L10-A;platforms;0.05;53.40208056;4.201925;5;0;0
27;SP0379;L10-A;platforms;0.05;53.40208056;4.201925;20;0;0
28;SP0380;L10-A;platforms;0.05;53.40208056;4.201925;20;0;0
29;SP0381;L10-A;platforms;0.05;53.40208056;4.201925;24;0;0
30;SP0382;L10-A;platforms;0.05;53.40208056;4.201925;24;0;0
31;SP0373;L10-A;platforms;0.05;53.40208056;4.201925;15;0;0
33;SP0145;L10-G;platforms;0.05;53.49038333;4.195225;10;0;0
34;SP0176;L10-G;platforms;0.05;53.49038333;4.195225;11;0;0
35;SP0138;L10-G;platforms;0.05;53.49038333;4.195225;0;0;0
36;SP0139;L10-G;platforms;0.05;53.49038333;4.195225;0;0;0
37;SP0140;L10-G;platforms;0.05;53.49038333;4.195225;0;0;0
38;SP0141;L10-G;platforms;0.05;53.49038333;4.195225;0;0;0
40;SP0143;L10-G;platforms;0.05;53.49038333;4.195225;15;0;0
41;SP0178;L10-G;platforms;0.05;53.49038333;4.195225;5;0;0
42;SP0179;L10-G;platforms;0.05;53.49038333;4.195225;5;0;0
43;SP0180;L10-G;platforms;0.05;53.49038333;4.195225;5;0;0
44;SP0177;L10-G;platforms;0.05;53.49038333;4.195225;11;0;0
45;SP0182;L10-G;platforms;0.05;53.49038333;4.195225;25;0;0
46;SP0183;L10-G;platforms;0.05;53.49038333;4.195225;25;0;0
47;SP0184;L10-G;platforms;0.05;53.49038333;4.195225;20;0;0
49;SP0186;L10-G;platforms;0.05;53.49038333;4.195225;20;0;0
50;SP0185;L10-G;platforms;0.05;53.49038333;4.195225;20;0;0
54;SP0117;L15-A;platforms;0.05;53.33;4.83;7;0;0
55;SP0118;L15-A;platforms;0.05;53.33;4.83;7;0;0
56;SP0119;L15-A;platforms;0.05;53.33;4.83;7;0;0
57;SP0120;L15-A;platforms;0.05;53.33;4.83;6;0;0
58;SP0122;L15-A;platforms;0.05;53.33;4.83;20;0;0
59;SP0123;L15-A;platforms;0.05;53.33;4.83;20;0;0
61;SP0125;L15-A;platforms;0.05;53.33;4.83;20;0;0
62;SP0126;L15-A;platforms;0.05;53.33;4.83;15;0;0
63;SP0127;L15-A;platforms;0.05;53.33;4.83;15;0;0
64;SP0128;L15-A;platforms;0.05;53.33;4.83;15;0;0
65;SP0129;L15-A;platforms;0.05;53.33;4.83;15;0;0
66;SP0130;L15-A;platforms;0.05;53.33;4.83;10;0;0
67;SP0131;L15-A;platforms;0.05;53.33;4.83;11;0;0
68;SP0132;L15-A;platforms;0.05;53.33;4.83;11;0;0
69;SP0133;L15-A;platforms;0.05;53.33;4.83;11;0;0
70;SP0190;K9-A;platforms;0.05;53.52;3.99;0;0;0
72;SP0192;K9-A;platforms;0.05;53.52;3.99;0;0;0
73;SP0193;K9-A;platforms;0.05;53.52;3.99;0;0;0
75;SP0207;K9-A;platforms;0.05;53.52;3.99;15;0;0
76;SP0208;K9-A;platforms;0.05;53.52;3.99;15;0;0
77;SP0209;K9-A;platforms;0.05;53.52;3.99;10;0;0
